,0
2015-08-25,1862
2015-08-26,1911
2015-08-27,1778
2015-08-28,1188
2015-08-29,1302
2015-08-30,1480
2015-08-31,1745
2015-09-01,1513
2015-09-02,1741
2015-09-03,1709
2015-09-04,1552
2015-09-05,871
2015-09-06,842
2015-09-07,1421
2015-09-08,1647
2015-09-09,1731
2015-09-10,1745
2015-09-11,1561
2015-09-12,809
2015-09-13,775
2015-09-14,1182
2015-09-15,1418
2015-09-16,784
2015-09-17,927
2015-09-18,1421
2015-09-19,726
2015-09-20,794
2015-09-21,1546
2015-09-22,1239
2015-09-23,1361
2015-09-24,1338
2015-09-25,1401
2015-09-26,918
2015-09-27,937
2015-09-28,1387
2015-09-29,1464
2015-09-30,1539
2015-10-01,1500
2015-10-02,1474
2015-10-03,1041
2015-10-04,693
2015-10-05,1340
2015-10-06,1273
2015-10-07,1455
2015-10-08,1549
2015-10-09,1480
2015-10-10,853
2015-10-11,724
2015-10-12,1225
2015-10-13,1179
2015-10-14,916
2015-10-15,595
2015-10-16,1089
2015-10-17,678
2015-10-18,616
2015-10-19,1128
2015-10-20,1253
2015-10-21,1386
2015-10-22,1190
2015-10-23,1397
2015-10-24,861
2015-10-25,888
2015-10-26,1374
2015-10-27,1408
2015-10-28,1402
2015-10-29,1457
2015-10-30,1425
2015-10-31,964
2015-11-01,770
2015-11-02,1254
2015-11-03,1410
2015-11-04,1497
2015-11-05,1715
2015-11-06,1528
2015-11-07,985
2015-11-08,970
2015-11-09,1691
2015-11-10,1766
2015-11-11,1881
2015-11-12,1905
2015-11-13,1586
2015-11-14,863
2015-11-15,757
2015-11-16,1684
2015-11-17,1078
2015-11-18,1838
2015-11-19,1173
2015-11-20,956
2015-11-21,668
2015-11-22,547
2015-11-23,1259
2015-11-24,1162
2015-11-25,1142
2015-11-26,1319
2015-11-27,1215
2015-11-28,673
2015-11-29,383
2015-11-30,772
2015-12-01,1241
2015-12-02,1601
2015-12-03,1493
2015-12-04,1209
2015-12-05,824
2015-12-06,704
2015-12-07,1606
2015-12-08,1417
2015-12-09,1517
2015-12-10,1390
2015-12-11,1108
2015-12-12,664
2015-12-13,674
